cityName,population,coords,countryName,continent,officialLanguage
Tai'an,5472217,Point(117.0809 36.2001),People's Republic of China,Asia,Putonghua
Yantai,7102116,Point(121.447777777 37.464444444),People's Republic of China,Asia,Putonghua
Laibin,2074611,Point(109.233333333 23.733333333),People's Republic of China,Asia,Putonghua
Xianyang,3959842,Point(108.709166666 34.329722222),People's Republic of China,Asia,Putonghua
Pu'er City,2404954,Point(100.96981 22.78028),People's Republic of China,Asia,Putonghua
Qiqihar,5367003,Point(123.95124 47.33981),People's Republic of China,Asia,Putonghua
Zhangye,1131016,Point(100.45529 38.93545),People's Republic of China,Asia,Putonghua
Zhuzhou,3902738,Point(113.14692 27.84071),People's Republic of China,Asia,Putonghua
Laibin,2233900,Point(109.233333333 23.733333333),People's Republic of China,Asia,Putonghua
Lijiang,1253878,Point(100.220833333 26.880833333),People's Republic of China,Asia,Putonghua
Mudanjiang,2290208,Point(129.599722 44.586111),People's Republic of China,Asia,Putonghua
Yinchuan,1993088,Point(106.225 38.485),People's Republic of China,Asia,Putonghua
Longnan,2407272,Point(105.349 33.535),People's Republic of China,Asia,Putonghua
Hezhou,2007858,Point(111.547777777 24.416388888),People's Republic of China,Asia,Putonghua
Shangluo,2041231,Point(109.92445 33.86805),People's Republic of China,Asia,Putonghua
Yuyao City,1254032,Point(121.15463 30.037195),People's Republic of China,Asia,Putonghua
Lincang,2257991,Point(100.0871 23.88643),People's Republic of China,Asia,Putonghua
Kaifeng,4564900,Point(114.345 34.795),People's Republic of China,Asia,Putonghua
Wenling,1416199,Point(121.37179 28.37974),People's Republic of China,Asia,Putonghua
Chuzhou,3987054,Point(118.31148 32.30621),People's Republic of China,Asia,Putonghua
Baiyin,1512110,Point(104.1766 36.5448),People's Republic of China,Asia,Putonghua
Qinzhou,3302238,Point(108.616666666 21.95),People's Republic of China,Asia,Putonghua
Qujing,5765775,Point(103.80287 25.51018),People's Republic of China,Asia,Putonghua
Wuwei,1815059,Point(102.63286 37.92781),People's Republic of China,Asia,Putonghua
Qingyang,2211191,Point(107.64 35.727777777),People's Republic of China,Asia,Putonghua
Weifang,9386705,Point(119.1 36.716666666),People's Republic of China,Asia,Putonghua
Beihai,1853227,Point(109.1 21.466666666),People's Republic of China,Asia,Putonghua
Hechi,3417945,Point(108.085 24.692777777),People's Republic of China,Asia,Putonghua
Liuzhou,4157934,Point(109.4281 24.3264),People's Republic of China,Asia,Putonghua
Zigong,2489256,Point(104.764514 29.349842),People's Republic of China,Asia,Putonghua
Jiamusi,2156505,Point(130.36531 46.80808),People's Republic of China,Asia,Putonghua
Nanchang,6255007,Point(115.887222 28.684167),People's Republic of China,Asia,Putonghua
Guilin,5085500,Point(110.286388888 25.281944444),People's Republic of China,Asia,Putonghua
Zhongwei,1067336,Point(105.18838 37.51386),People's Republic of China,Asia,Putonghua
Haikou,1776141,Point(110.32 20.02),People's Republic of China,Asia,Putonghua
Ulanqab,1706328,Point(113.124444444 40.991944444),People's Republic of China,Asia,Putonghua
Dingxi,2698624,Point(104.626278 35.580611),People's Republic of China,Asia,Putonghua
Lanzhou,4359446,Point(103.83177 36.06171),People's Republic of China,Asia,Putonghua
Changsha,10047914,Point(112.97087 28.19874),People's Republic of China,Asia,Putonghua
Zigong,2678899,Point(104.764514 29.349842),People's Republic of China,Asia,Putonghua
Jixi,1502060,Point(130.96496 45.29366),People's Republic of China,Asia,Putonghua
Hulunbuir,2549252,Point(119.75097 49.21534),People's Republic of China,Asia,Putonghua
Hengyang,6645243,Point(112.58568 26.89676),People's Republic of China,Asia,Putonghua
Dezhou,5611194,Point(116.31046 37.45127),People's Republic of China,Asia,Putonghua
Zhoukou,9026015,Point(114.6418 33.62502),People's Republic of China,Asia,Putonghua
Kunming,8460088,Point(102.706111111 25.043333333),People's Republic of China,Asia,Putonghua
Yueyang,5797100,Point(113.1309 29.36472),People's Republic of China,Asia,Putonghua
Meishan,2950545,Point(103.83806 30.05746),People's Republic of China,Asia,Putonghua
Heze,8795939,Point(115.433333333 35.233333333),People's Republic of China,Asia,Putonghua
Zhumadian,7008427,Point(114.02528 32.97729),People's Republic of China,Asia,Putonghua
Zaozhuang,3855601,Point(117.55 34.866666666),People's Republic of China,Asia,Putonghua
Chongqing,32054159,Point(106.506944444 29.55),People's Republic of China,Asia,Putonghua
Yueyang,5051922,Point(113.1309 29.36472),People's Republic of China,Asia,Putonghua
Meishan,2955219,Point(103.83806 30.05746),People's Republic of China,Asia,Putonghua
